Bookmark,Frame#,Role,Addr.,Trans ID,PDU ID,Param Len,UUID/Svc Handle,Attribute,UUID,Version,Frame Size,Delta,Timestamp,
,150,Master,3,0x0000,Search/Attrib Request,15,PnPInfo,,PnP Information,,29,="",="6/27/2014 1:36:38.955645 PM",
,153,Slave,3,0x0000,Search/Attrib Response,5,,,,,19,=" 00:00:00.031349",="6/27/2014 1:36:38.986994 PM",
,166,Master,3,0x0000,Search/Attrib Request,15,L2CAP,,L2CAP,,29,=" 00:00:00.104418",="6/27/2014 1:36:39.091412 PM",
,169,Slave,3,0x0000,Search/Attrib Response,245,,Service Record Handle,A/V_Remote Control,v1.0,259,=" 00:00:00.051998",="6/27/2014 1:36:39.143410 PM",
,170,Master,3,0x0001,Search/Attrib Request,17,L2CAP,,L2CAP,,31,=" 00:00:00.000800",="6/27/2014 1:36:39.144210 PM",
,172,Slave,3,0x0001,Search/Attrib Response,291,,Service Record Handle,A/V_Remote Control,v1.0,65,=" 00:00:00.030331",="6/27/2014 1:36:39.174541 PM",
,191,Master,3,0x0000,Search/Attrib Request,22,Handsfree,Service Class ID List,Handsfree,,36,=" 00:00:00.269170",="6/27/2014 1:36:39.443711 PM",
,194,Slave,3,0x0000,Search/Attrib Response,56,,Service Class ID List,Handsfree,v1.5,70,=" 00:00:00.057145",="6/27/2014 1:36:39.500856 PM",
,275,Slave,3,0x0001,Search Request,10,DialUpNet,,Dialup Networking,,24,=" 00:00:02.142487",="6/27/2014 1:36:41.643343 PM",
,276,Master,3,0x0001,Search Response,5,,,,,19,=" 00:00:00.000620",="6/27/2014 1:36:41.643963 PM",
,319,Slave,3,0x0001,Search Request,10,PhoneBookAccessServer,,PhoneBookAccessServer,,24,=" 00:00:01.388204",="6/27/2014 1:36:43.032167 PM",
,320,Master,3,0x0001,Search Response,9,0x 00 01 00 06,,,,23,=" 00:00:00.000712",="6/27/2014 1:36:43.032879 PM",
,322,Slave,3,0x0002,Attribute Request,12,0x 00 01 00 06,Service Class ID List,,,26,=" 00:00:00.054274",="6/27/2014 1:36:43.087153 PM",
,323,Master,3,0x0002,Attribute Response,13,,Service Class ID List,PhoneBookAccessServer,,27,=" 00:00:00.000943",="6/27/2014 1:36:43.088096 PM",
,328,Slave,3,0x0003,Search Request,10,OBEXPush,,OBEX Object Push,,24,=" 00:00:00.049170",="6/27/2014 1:36:43.137266 PM",
,329,Master,3,0x0003,Search Response,9,0x 00 01 00 07,,,,23,=" 00:00:00.000889",="6/27/2014 1:36:43.138155 PM",
,331,Slave,3,0x0004,Attribute Request,12,0x 00 01 00 07,Service Class ID List,,,26,=" 00:00:00.021354",="6/27/2014 1:36:43.159509 PM",
,332,Master,3,0x0004,Attribute Response,13,,Service Class ID List,OBEX Object Push,,27,=" 00:00:00.000669",="6/27/2014 1:36:43.160178 PM",
,334,Slave,3,0x0005,Attribute Request,12,0x 00 01 00 06,Unknown/Reserved Attribute ID [0x0314],,,26,=" 00:00:00.014489",="6/27/2014 1:36:43.174667 PM",
,335,Master,3,0x0005,Attribute Response,10,,Unknown/Reserved Attribute ID [918292],,,24,=" 00:00:00.000887",="6/27/2014 1:36:43.175554 PM",
,355,Slave,3,0x0001,Search Request,22,SyncML Client,,SyncML Client,,36,=" 00:00:00.209117",="6/27/2014 1:36:43.384671 PM",
,356,Master,3,0x0001,Search Response,5,,,,,19,=" 00:00:00.000782",="6/27/2014 1:36:43.385453 PM",
,425,Master,3,0x0000,Search/Attrib Request,19,AudioSink,Service Class ID List,Audio Sink,,33,=" 00:00:02.739929",="6/27/2014 1:36:46.125382 PM",
,428,Slave,3,0x0000,Search/Attrib Response,5,,,,,19,=" 00:00:00.055557",="6/27/2014 1:36:46.180939 PM",
,495,Slave,3,0x0001,Search Request,10,PhoneBookAccessServer,,PhoneBookAccessServer,,24,=" 00:00:01.969847",="6/27/2014 1:36:48.150786 PM",
,496,Master,3,0x0001,Search Response,9,0x 00 01 00 06,,,,23,=" 00:00:00.000540",="6/27/2014 1:36:48.151326 PM",
,498,Slave,3,0x0002,Attribute Request,12,0x 00 01 00 06,Service Class ID List,,,26,=" 00:00:00.054491",="6/27/2014 1:36:48.205817 PM",
,499,Master,3,0x0002,Attribute Response,13,,Service Class ID List,PhoneBookAccessServer,,27,=" 00:00:00.000580",="6/27/2014 1:36:48.206397 PM",
,501,Slave,3,0x0003,Attribute Request,12,0x 00 01 00 06,Protocol Descriptor List,,,26,=" 00:00:00.051703",="6/27/2014 1:36:48.258100 PM",
,502,Master,3,0x0003,Attribute Response,27,,Protocol Descriptor List,L2CAP,,41,=" 00:00:00.000524",="6/27/2014 1:36:48.258624 PM",
,850,Master,1,0x0001,Search Request,10,Handsfree Audio Gateway,,Handsfree Audio Gateway,,24,=" 00:02:46.508112",="6/27/2014 1:39:34.766736 PM",
,851,Slave,1,0x0001,Search Response,9,0x 00 01 00 01,,,,23,=" 00:00:00.000636",="6/27/2014 1:39:34.767372 PM",
,853,Master,1,0x0002,Attribute Request,12,0x 00 01 00 01,Service Class ID List,,,26,=" 00:00:00.029373",="6/27/2014 1:39:34.796745 PM",
,854,Slave,1,0x0002,Attribute Response,16,,Service Class ID List,Handsfree Audio Gateway,,30,=" 00:00:00.000610",="6/27/2014 1:39:34.797355 PM",
,856,Master,1,0x0003,Attribute Request,12,0x 00 01 00 01,Protocol Descriptor List,,,26,=" 00:00:00.030451",="6/27/2014 1:39:34.827806 PM",
,857,Slave,1,0x0003,Attribute Response,22,,Protocol Descriptor List,L2CAP,,36,=" 00:00:00.000684",="6/27/2014 1:39:34.828490 PM",
,899,Slave,1,0x0000,Search/Attrib Request,19,Handsfree,Service Class ID List,Handsfree,,33,=" 00:00:00.304556",="6/27/2014 1:39:35.133046 PM",
,904,Master,1,0x0000,Search/Attrib Response,39,,Service Class ID List,Handsfree,v1.5,53,=" 00:00:00.024395",="6/27/2014 1:39:35.157441 PM",
,949,* Master,* 1,* 0x0001,* Search Request,* 10,* DialUpNet,,Dialup Networking,,7,=" 00:00:01.626701",="6/27/2014 1:39:36.784142 PM",
,950,Slave,1,0x0001,Search Response,5,,,,,19,=" 00:00:00.000627",="6/27/2014 1:39:36.784769 PM",
,994,* Master,* 1,* 0x0001,* Search Request,* 10,* PhoneBookAccessServer,,PhoneBookAccessServer,,7,=" 00:00:01.221062",="6/27/2014 1:39:38.005831 PM",
,995,Slave,1,0x0001,Search Response,9,0x 00 01 00 06,,,,23,=" 00:00:00.000539",="6/27/2014 1:39:38.006370 PM",
,997,Master,1,0x0002,Attribute Request,12,0x 00 01 00 06,Service Class ID List,,,26,=" 00:00:00.014026",="6/27/2014 1:39:38.020396 PM",
,998,Slave,1,0x0002,Attribute Response,13,,Service Class ID List,PhoneBookAccessServer,,27,=" 00:00:00.000503",="6/27/2014 1:39:38.020899 PM",
,1000,Master,1,0x0003,Search Request,10,OBEXPush,,OBEX Object Push,,24,=" 00:00:00.018275",="6/27/2014 1:39:38.039174 PM",
,1001,Slave,1,0x0003,Search Response,9,0x 00 01 00 07,,,,23,=" 00:00:00.000524",="6/27/2014 1:39:38.039698 PM",
,1003,Master,1,0x0004,Attribute Request,12,0x 00 01 00 07,Service Class ID List,,,26,=" 00:00:00.012003",="6/27/2014 1:39:38.051701 PM",
,1004,Slave,1,0x0004,Attribute Response,13,,Service Class ID List,OBEX Object Push,,27,=" 00:00:00.000522",="6/27/2014 1:39:38.052223 PM",
,1006,Master,1,0x0005,Attribute Request,12,0x 00 01 00 06,Unknown/Reserved Attribute ID [0x0314],,,26,=" 00:00:00.011938",="6/27/2014 1:39:38.064161 PM",
,1007,Slave,1,0x0005,Attribute Response,10,,Unknown/Reserved Attribute ID [918292],,,24,=" 00:00:00.000572",="6/27/2014 1:39:38.064733 PM",
,1024,Master,1,0x0001,Search Request,22,SyncML Client,,SyncML Client,,36,=" 00:00:00.077035",="6/27/2014 1:39:38.141768 PM",
,1025,Slave,1,0x0001,Search Response,5,,,,,19,=" 00:00:00.000538",="6/27/2014 1:39:38.142306 PM",
,1120,Slave,1,0x0000,Search/Attrib Request,19,AudioSink,Service Class ID List,Audio Sink,,33,=" 00:00:02.983718",="6/27/2014 1:39:41.126024 PM",
,1125,Master,1,0x0000,Search/Attrib Response,5,,,,,19,=" 00:00:00.020708",="6/27/2014 1:39:41.146732 PM",
,1200,* Master,* 1,* 0x0001,* Search Request,* 10,* PhoneBookAccessServer,,PhoneBookAccessServer,,7,=" 00:00:02.901529",="6/27/2014 1:39:44.048261 PM",
,1201,Slave,1,0x0001,Search Response,9,0x 00 01 00 06,,,,23,=" 00:00:00.000614",="6/27/2014 1:39:44.048875 PM",
,1203,Master,1,0x0002,Attribute Request,12,0x 00 01 00 06,Service Class ID List,,,26,=" 00:00:00.012870",="6/27/2014 1:39:44.061745 PM",
,1204,Slave,1,0x0002,Attribute Response,13,,Service Class ID List,PhoneBookAccessServer,,27,=" 00:00:00.000584",="6/27/2014 1:39:44.062329 PM",
,1206,Master,1,0x0003,Attribute Request,12,0x 00 01 00 06,Protocol Descriptor List,,,26,=" 00:00:00.029397",="6/27/2014 1:39:44.091726 PM",
,1207,Slave,1,0x0003,Attribute Response,27,,Protocol Descriptor List,L2CAP,,41,=" 00:00:00.000582",="6/27/2014 1:39:44.092308 PM",
,1559,Master,3,0x0000,Search/Attrib Request,22,Handsfree,Service Class ID List,Handsfree,,36,=" 00:04:55.881067",="6/27/2014 1:44:39.973375 PM",
,1562,Slave,3,0x0000,Search/Attrib Response,56,,Service Class ID List,Handsfree,v1.5,70,=" 00:00:00.033174",="6/27/2014 1:44:40.006549 PM",
,1641,Slave,3,0x0001,Search Request,10,DialUpNet,,Dialup Networking,,24,=" 00:00:02.488647",="6/27/2014 1:44:42.495196 PM",
,1642,Master,3,0x0001,Search Response,5,,,,,19,=" 00:00:00.000594",="6/27/2014 1:44:42.495790 PM",
,1685,Slave,3,0x0001,Search Request,10,PhoneBookAccessServer,,PhoneBookAccessServer,,24,=" 00:00:01.442023",="6/27/2014 1:44:43.937813 PM",
,1686,Master,3,0x0001,Search Response,9,0x 00 01 00 06,,,,23,=" 00:00:00.000753",="6/27/2014 1:44:43.938566 PM",
,1688,Slave,3,0x0002,Attribute Request,12,0x 00 01 00 06,Service Class ID List,,,26,=" 00:00:00.055384",="6/27/2014 1:44:43.993950 PM",
,1689,Master,3,0x0002,Attribute Response,13,,Service Class ID List,PhoneBookAccessServer,,27,=" 00:00:00.000565",="6/27/2014 1:44:43.994515 PM",
,1694,Slave,3,0x0003,Search Request,10,OBEXPush,,OBEX Object Push,,24,=" 00:00:00.056900",="6/27/2014 1:44:44.051415 PM",
,1695,Master,3,0x0003,Search Response,9,0x 00 01 00 07,,,,23,=" 00:00:00.000711",="6/27/2014 1:44:44.052126 PM",
,1697,Slave,3,0x0004,Attribute Request,12,0x 00 01 00 07,Service Class ID List,,,26,=" 00:00:00.055326",="6/27/2014 1:44:44.107452 PM",
,1698,Master,3,0x0004,Attribute Response,13,,Service Class ID List,OBEX Object Push,,27,=" 00:00:00.003649",="6/27/2014 1:44:44.111101 PM",
,1703,Slave,3,0x0005,Attribute Request,12,0x 00 01 00 06,Unknown/Reserved Attribute ID [0x0314],,,26,=" 00:00:00.050197",="6/27/2014 1:44:44.161298 PM",
,1704,Master,3,0x0005,Attribute Response,10,,Unknown/Reserved Attribute ID [918292],,,24,=" 00:00:00.000519",="6/27/2014 1:44:44.161817 PM",
,1725,Slave,3,0x0001,Search Request,22,SyncML Client,,SyncML Client,,36,=" 00:00:00.199753",="6/27/2014 1:44:44.361570 PM",
,1726,Master,3,0x0001,Search Response,5,,,,,19,=" 00:00:00.000784",="6/27/2014 1:44:44.362354 PM",
,1777,Master,3,0x0000,Search/Attrib Request,19,AudioSink,Service Class ID List,Audio Sink,,33,=" 00:00:02.090095",="6/27/2014 1:44:46.452449 PM",
,1783,Slave,3,0x0000,Search/Attrib Response,5,,,,,19,=" 00:00:00.062775",="6/27/2014 1:44:46.515224 PM",
,1888,Master,4,0x0000,Search/Attrib Request,22,Handsfree,Service Class ID List,Handsfree,,36,=" 00:00:08.650744",="6/27/2014 1:44:55.165968 PM",
,1891,Slave,4,0x0000,Search/Attrib Response,56,,Service Class ID List,Handsfree,v1.5,70,=" 00:00:00.034760",="6/27/2014 1:44:55.200728 PM",
,1970,Slave,4,0x0001,Search Request,10,DialUpNet,,Dialup Networking,,24,=" 00:00:02.104841",="6/27/2014 1:44:57.305569 PM",
,1971,Master,4,0x0001,Search Response,5,,,,,19,=" 00:00:00.000900",="6/27/2014 1:44:57.306469 PM",
,2014,Slave,4,0x0001,Search Request,10,PhoneBookAccessServer,,PhoneBookAccessServer,,24,=" 00:00:01.491305",="6/27/2014 1:44:58.797774 PM",
,2015,Master,4,0x0001,Search Response,9,0x 00 01 00 06,,,,23,=" 00:00:00.000738",="6/27/2014 1:44:58.798512 PM",
,2017,Slave,4,0x0002,Attribute Request,12,0x 00 01 00 06,Service Class ID List,,,26,=" 00:00:00.059178",="6/27/2014 1:44:58.857690 PM",
,2018,Master,4,0x0002,Attribute Response,13,,Service Class ID List,PhoneBookAccessServer,,27,=" 00:00:00.000752",="6/27/2014 1:44:58.858442 PM",
,2023,Slave,4,0x0003,Search Request,10,OBEXPush,,OBEX Object Push,,24,=" 00:00:00.059696",="6/27/2014 1:44:58.918138 PM",
,2024,Master,4,0x0003,Search Response,9,0x 00 01 00 07,,,,23,=" 00:00:00.001247",="6/27/2014 1:44:58.919385 PM",
,2026,Slave,4,0x0004,Attribute Request,12,0x 00 01 00 07,Service Class ID List,,,26,=" 00:00:00.060039",="6/27/2014 1:44:58.979424 PM",
,2027,Master,4,0x0004,Attribute Response,13,,Service Class ID List,OBEX Object Push,,27,=" 00:00:00.000903",="6/27/2014 1:44:58.980327 PM",
,2029,Slave,4,0x0005,Attribute Request,12,0x 00 01 00 06,Unknown/Reserved Attribute ID [0x0314],,,26,=" 00:00:00.068415",="6/27/2014 1:44:59.048742 PM",
,2030,Master,4,0x0005,Attribute Response,10,,Unknown/Reserved Attribute ID [918292],,,24,=" 00:00:00.001835",="6/27/2014 1:44:59.050577 PM",
,2049,Slave,4,0x0001,Search Request,22,SyncML Client,,SyncML Client,,36,=" 00:00:00.179676",="6/27/2014 1:44:59.230253 PM",
,2050,Master,4,0x0001,Search Response,5,,,,,19,=" 00:00:00.000864",="6/27/2014 1:44:59.231117 PM",
,2116,Master,4,0x0000,Search/Attrib Request,19,AudioSink,Service Class ID List,Audio Sink,,33,=" 00:00:02.419085",="6/27/2014 1:45:01.650202 PM",
,2119,Slave,4,0x0000,Search/Attrib Response,5,,,,,19,=" 00:00:00.055068",="6/27/2014 1:45:01.705270 PM",
,2220,Slave,4,0x0001,Search Request,10,PhoneBookAccessServer,,PhoneBookAccessServer,,24,=" 00:00:04.273529",="6/27/2014 1:45:05.978799 PM",
,2221,Master,4,0x0001,Search Response,9,0x 00 01 00 06,,,,23,=" 00:00:00.000585",="6/27/2014 1:45:05.979384 PM",
,2223,Slave,4,0x0002,Attribute Request,12,0x 00 01 00 06,Service Class ID List,,,26,=" 00:00:00.055850",="6/27/2014 1:45:06.035234 PM",
,2224,Master,4,0x0002,Attribute Response,13,,Service Class ID List,PhoneBookAccessServer,,27,=" 00:00:00.000831",="6/27/2014 1:45:06.036065 PM",
,2226,Slave,4,0x0003,Attribute Request,12,0x 00 01 00 06,Protocol Descriptor List,,,26,=" 00:00:00.054749",="6/27/2014 1:45:06.090814 PM",
,2227,Master,4,0x0003,Attribute Response,27,,Protocol Descriptor List,L2CAP,,41,=" 00:00:00.001771",="6/27/2014 1:45:06.092585 PM",
