Bookmark,Frame#,ACP SEID,Error Code,Addr.,INT SEID,Packet,Role,Signal ID,Transaction,Frame Size,Delta,Timestamp,
,1427,,,1,,Single Packet,Master,DISCOVER,0,18,="",="6/25/2014 11:10:07.604675 AM",
,1428,1,,1,,Single Packet,Slave,DISCOVER,0,20,=" 00:00:00.006877",="6/25/2014 11:10:07.611552 AM",
,1429,1,,1,,Single Packet,Master,GET_CAPABILITIES,1,19,=" 00:00:00.004373",="6/25/2014 11:10:07.615925 AM",
,1430,,,1,,Single Packet,Slave,GET_CAPABILITIES,1,28,=" 00:00:00.001877",="6/25/2014 11:10:07.617802 AM",
,1431,1,,1,1,Single Packet,Master,SET_CONFIGURATION,2,30,=" 00:00:00.010624",="6/25/2014 11:10:07.628426 AM",
,1432,,,1,,Single Packet,Slave,SET_CONFIGURATION,2,18,=" 00:00:00.021876",="6/25/2014 11:10:07.650302 AM",
,1433,1,,1,,Single Packet,Master,OPEN,3,19,=" 00:00:00.004374",="6/25/2014 11:10:07.654676 AM",
,1434,1,,1,,Single Packet,Slave,GET_CAPABILITIES,0,19,=" 00:00:00.006877",="6/25/2014 11:10:07.661553 AM",
,1435,,,1,,Single Packet,Master,GET_CAPABILITIES,0,32,=" 00:00:00.004373",="6/25/2014 11:10:07.665926 AM",
,1436,,,1,,Single Packet,Slave,OPEN,3,18,=" 00:00:00.011877",="6/25/2014 11:10:07.677803 AM",
,1445,1,,1,,Single Packet,Master,START,4,19,=" 00:00:00.039373",="6/25/2014 11:10:07.717176 AM",
,1446,,,1,,Single Packet,Slave,START,4,18,=" 00:00:00.006877",="6/25/2014 11:10:07.724053 AM",
,7580,1,,1,,Single Packet,Slave,SUSPEND,1,19,=" 00:01:57.685465",="6/25/2014 11:12:05.409518 AM",
,7581,,,1,,Single Packet,Master,SUSPEND,1,18,=" 00:00:00.008123",="6/25/2014 11:12:05.417641 AM",
,7617,1,,1,,Single Packet,Slave,START,2,19,=" 00:00:38.017027",="6/25/2014 11:12:43.434668 AM",
,7618,,,1,,Single Packet,Master,START,2,18,=" 00:00:00.005623",="6/25/2014 11:12:43.440291 AM",
,11732,1,,1,,Single Packet,Slave,SUSPEND,3,19,=" 00:01:20.628450",="6/25/2014 11:14:04.068741 AM",
,11733,,,1,,Single Packet,Master,SUSPEND,3,18,=" 00:00:00.030623",="6/25/2014 11:14:04.099364 AM",
,11758,1,,1,,Single Packet,Slave,START,4,39,=" 00:00:10.828170",="6/25/2014 11:14:14.927534 AM",
,11759,,,1,,Single Packet,Master,START,4,18,=" 00:00:00.008123",="6/25/2014 11:14:14.935657 AM",
,12018,1,,1,,Single Packet,Slave,SUSPEND,5,19,=" 00:00:05.048148",="6/25/2014 11:14:19.983805 AM",
,12019,,,1,,Single Packet,Master,SUSPEND,5,18,=" 00:00:00.014373",="6/25/2014 11:14:19.998178 AM",
,12053,1,,1,,Single Packet,Slave,START,6,39,=" 00:01:11.208407",="6/25/2014 11:15:31.206585 AM",
,12054,,,1,,Single Packet,Master,START,6,18,=" 00:00:00.005624",="6/25/2014 11:15:31.212209 AM",
,12399,1,,1,,Single Packet,Slave,SUSPEND,7,19,=" 00:00:06.504402",="6/25/2014 11:15:37.716611 AM",
,12400,,,1,,Single Packet,Master,SUSPEND,7,18,=" 00:00:00.005623",="6/25/2014 11:15:37.722234 AM",
,12416,1,,1,,Single Packet,Slave,START,8,19,=" 00:00:14.839435",="6/25/2014 11:15:52.561669 AM",
,12417,,,1,,Single Packet,Master,START,8,18,=" 00:00:00.008124",="6/25/2014 11:15:52.569793 AM",
,12682,1,,1,,Single Packet,Slave,SUSPEND,9,19,=" 00:00:05.220647",="6/25/2014 11:15:57.790440 AM",
,12683,,,1,,Single Packet,Master,SUSPEND,9,18,=" 00:00:00.019373",="6/25/2014 11:15:57.809813 AM",
,38308,1,,1,,Single Packet,Master,CLOSE,5,19,=" 00:02:29.301840",="6/25/2014 11:18:27.111653 AM",
,38309,,,1,,Single Packet,Slave,CLOSE,5,18,=" 00:00:00.021877",="6/25/2014 11:18:27.133530 AM",
,39455,,,1,,Single Packet,Slave,DISCOVER,0,18,=" 00:00:17.445068",="6/25/2014 11:18:44.578598 AM",
,39456,1,,1,,Single Packet,Master,DISCOVER,0,20,=" 00:00:00.004373",="6/25/2014 11:18:44.582971 AM",
,39457,1,,1,,Single Packet,Slave,GET_CAPABILITIES,1,19,=" 00:00:00.001877",="6/25/2014 11:18:44.584848 AM",
,39458,,,1,,Single Packet,Master,GET_CAPABILITIES,1,32,=" 00:00:00.004373",="6/25/2014 11:18:44.589221 AM",
,39459,1,,1,1,Single Packet,Slave,SET_CONFIGURATION,2,30,=" 00:00:00.006877",="6/25/2014 11:18:44.596098 AM",
,39460,,,1,,Single Packet,Master,SET_CONFIGURATION,2,18,=" 00:00:00.008123",="6/25/2014 11:18:44.604221 AM",
,39461,1,,1,,Single Packet,Slave,OPEN,3,19,=" 00:00:00.006877",="6/25/2014 11:18:44.611098 AM",
,39462,,,1,,Single Packet,Master,OPEN,3,18,=" 00:00:00.004374",="6/25/2014 11:18:44.615472 AM",
,39537,1,,1,,Single Packet,Slave,START,4,39,=" 00:00:23.796971",="6/25/2014 11:19:08.412443 AM",
,39538,,,1,,Single Packet,Master,START,4,18,=" 00:00:00.005623",="6/25/2014 11:19:08.418066 AM",
,39914,1,,1,,Single Packet,Slave,SUSPEND,5,19,=" 00:00:06.990655",="6/25/2014 11:19:15.408721 AM",
,39915,,,1,,Single Packet,Master,SUSPEND,5,18,=" 00:00:00.015623",="6/25/2014 11:19:15.424344 AM",
,39943,1,,1,,Single Packet,Slave,START,6,19,=" 00:00:24.121972",="6/25/2014 11:19:39.546316 AM",
,39944,,,1,,Single Packet,Master,START,6,18,=" 00:00:00.005624",="6/25/2014 11:19:39.551940 AM",
,40272,1,,1,,Single Packet,Slave,SUSPEND,7,19,=" 00:00:06.540652",="6/25/2014 11:19:46.092592 AM",
,40273,,,1,,Single Packet,Master,SUSPEND,7,18,=" 00:00:00.010624",="6/25/2014 11:19:46.103216 AM",
,40311,1,,1,,Single Packet,Slave,START,8,19,=" 00:00:04.324394",="6/25/2014 11:19:50.427610 AM",
,40312,,,1,,Single Packet,Master,START,8,18,=" 00:00:00.005623",="6/25/2014 11:19:50.433233 AM",
,40649,1,,1,,Single Packet,Slave,SUSPEND,9,19,=" 00:00:06.678153",="6/25/2014 11:19:57.111386 AM",
,40650,,,1,,Single Packet,Master,SUSPEND,9,18,=" 00:00:00.010623",="6/25/2014 11:19:57.122009 AM",
,40683,1,,1,,Single Packet,Slave,START,10,19,=" 00:00:23.081969",="6/25/2014 11:20:20.203978 AM",
,40684,,,1,,Single Packet,Master,START,10,18,=" 00:00:00.005623",="6/25/2014 11:20:20.209601 AM",
,41015,1,,1,,Single Packet,Slave,SUSPEND,11,19,=" 00:00:06.606903",="6/25/2014 11:20:26.816504 AM",
,41016,,,1,,Single Packet,Master,SUSPEND,11,18,=" 00:00:00.009374",="6/25/2014 11:20:26.825878 AM",
,41084,1,,1,,Single Packet,Slave,START,12,19,=" 00:00:04.961896",="6/25/2014 11:20:31.787774 AM",
,41085,,,1,,Single Packet,Master,START,12,18,=" 00:00:00.005623",="6/25/2014 11:20:31.793397 AM",
,41459,1,,1,,Single Packet,Slave,SUSPEND,13,19,=" 00:00:06.504403",="6/25/2014 11:20:38.297800 AM",
,41460,,,1,,Single Packet,Master,SUSPEND,13,18,=" 00:00:00.011874",="6/25/2014 11:20:38.309674 AM",
,41528,1,,1,,Single Packet,Slave,START,14,19,=" 00:00:21.358211",="6/25/2014 11:20:59.667885 AM",
,41529,,,1,,Single Packet,Master,START,14,18,=" 00:00:00.008124",="6/25/2014 11:20:59.676009 AM",
,41530,1,,1,,Single Packet,Slave,SUSPEND,15,19,=" 00:00:00.006877",="6/25/2014 11:20:59.682886 AM",
,41531,,,1,,Single Packet,Master,SUSPEND,15,18,=" 00:00:00.010623",="6/25/2014 11:20:59.693509 AM",
,41532,1,,1,,Single Packet,Slave,START,0,19,=" 00:00:00.021877",="6/25/2014 11:20:59.715386 AM",
,41533,,,1,,Single Packet,Master,START,0,18,=" 00:00:00.005623",="6/25/2014 11:20:59.721009 AM",
,45526,1,,1,,Single Packet,Slave,SUSPEND,1,19,=" 00:01:18.254695",="6/25/2014 11:22:17.975704 AM",
,45527,,,1,,Single Packet,Master,SUSPEND,1,18,=" 00:00:00.005623",="6/25/2014 11:22:17.981327 AM",
,45532,1,,1,,Single Packet,Slave,START,2,19,=" 00:00:00.258128",="6/25/2014 11:22:18.239455 AM",
,45533,,,1,,Single Packet,Master,START,2,18,=" 00:00:00.005623",="6/25/2014 11:22:18.245078 AM",
,46976,1,,1,,Single Packet,Master,CLOSE,0,19,=" 00:00:27.941364",="6/25/2014 11:22:46.186442 AM",
,46977,,,1,,Single Packet,Slave,CLOSE,0,18,=" 00:00:00.001877",="6/25/2014 11:22:46.188319 AM",
